Datetime,Temp_C,Pressure_hpa,Humidity_pc,time_m
2021-12-19 22:42:04.099506,21.68,1004.65,29.12,1362.07
2021-12-19 23:02:04.330614,21.22,1004.07,29.79,1382.07
2021-12-19 23:22:04.035841,21.03,1004.41,29.97,1402.07
2021-12-19 23:42:04.399770,20.93,1004.57,29.83,1422.07
2021-12-20 00:02:04.598521,20.79,1004.52,30.28,2.07
2021-12-20 00:22:04.297655,20.62,1004.24,30.54,22.07
2021-12-20 00:42:04.669178,20.46,1004.35,30.66,42.07
2021-12-20 01:02:04.903661,20.23,1004.21,30.95,62.07
2021-12-20 01:22:04.587906,20.18,1004.28,30.87,82.07
2021-12-20 01:42:03.959842,20.08,1004.44,30.94,102.05
2021-12-20 02:02:04.200054,19.96,1004.45,31.04,122.07
2021-12-20 02:22:03.889474,19.84,1004.46,31.18,142.05
2021-12-20 02:42:04.254347,19.74,1004.52,31.20,162.07
2021-12-20 03:02:04.447715,19.67,1004.45,31.29,182.07
2021-12-20 03:22:04.111570,19.55,1004.18,31.43,202.07
2021-12-20 03:42:04.448594,19.55,1003.89,30.93,222.07
2021-12-20 04:02:04.678703,19.38,1004.07,30.94,242.07
2021-12-20 04:22:04.338507,19.41,1003.84,30.76,262.07
2021-12-20 04:42:04.713636,19.76,1003.40,29.67,282.07
2021-12-20 05:02:03.929414,19.65,1003.74,29.95,302.05
2021-12-20 05:22:04.581606,21.19,1003.43,26.99,322.07
2021-12-20 05:42:03.968599,22.29,1003.43,25.31,342.05
2021-12-20 06:02:04.192062,23.01,1003.35,24.50,362.07
2021-12-20 06:22:04.891243,22.79,1003.41,25.70,382.07
2021-12-20 06:42:04.308622,23.77,1003.63,23.88,402.07
2021-12-20 07:02:04.511487,21.76,1003.56,27.98,422.07
2021-12-20 07:22:04.179036,22.26,1003.74,27.02,442.07
2021-12-20 07:42:04.576056,21.71,1003.74,27.86,462.07
2021-12-20 08:02:04.790351,22.05,1003.27,27.50,482.07
2021-12-20 08:22:04.507749,21.53,1003.33,28.37,502.07
2021-12-20 08:42:04.881747,21.96,1003.45,27.34,522.07
2021-12-20 09:02:04.093719,21.61,1003.32,28.06,542.07
2021-12-20 09:22:04.732828,21.52,1003.12,30.91,562.07
2021-12-20 09:42:04.106991,22.05,1002.69,29.10,582.07
2021-12-20 10:02:04.319064,21.82,1002.36,29.09,602.07
2021-12-20 10:22:03.967099,21.65,1002.07,29.12,622.05
2021-12-20 10:42:04.351538,22.03,1001.96,28.49,642.07
2021-12-20 11:02:04.593473,21.77,1001.46,29.01,662.07
2021-12-20 11:22:04.240626,22.04,1001.22,28.03,682.07
2021-12-20 11:42:04.612905,21.99,1000.92,28.19,702.07
2021-12-20 12:02:04.828897,21.95,1000.44,28.06,722.07
2021-12-20 12:22:04.480406,22.37,1000.23,27.58,742.07
2021-12-20 12:42:04.843643,22.34,999.86,27.92,762.07
2021-12-20 13:02:04.107935,22.76,999.67,26.49,782.07
2021-12-20 13:22:04.757867,23.54,999.40,25.12,802.07
2021-12-20 13:42:04.109407,23.03,999.02,28.12,822.07
2021-12-20 14:02:04.339484,23.27,998.71,28.07,842.07
2021-12-20 14:22:03.998927,23.05,998.59,28.10,862.05
2021-12-20 14:42:04.359571,22.58,998.29,28.58,882.07
